date,cumulative_gains
2013-09-03,-1723135.4161999996
2013-09-04,-1720636.8201
2013-09-05,-1720636.8201
2013-09-06,-1720636.8201
2013-09-09,-1722917.8412999997
2013-09-10,-1722917.8412999997
2013-09-11,-1722917.8412999997
2013-09-12,-1722917.8412999997
2013-09-13,-1722917.8412999997
2013-09-17,-1722917.8412999997
2013-09-18,-1722917.8412999997
2013-09-19,-1722917.8412999997
2013-09-20,-1722917.8412999997
2013-09-24,-1722917.8412999997
2013-09-25,-1722917.8412999997
2013-09-26,-1713845.7976999998
2013-09-27,-1713845.7976999998
2013-09-30,-1713845.7976999998
2013-10-01,-1713845.7976999998
2013-10-02,-1751893.4722999998
2013-10-03,-1751893.4722999998
2013-10-04,-1751893.4722999998
2013-10-07,-1751893.4722999998
2013-10-08,-1751893.4722999998
2013-10-09,-1751893.4722999998
2013-10-10,-1751893.4722999998
2013-10-11,-1751893.4722999998
2013-10-15,-1751893.4722999998
2013-10-16,-1748862.6323
2013-10-17,-1748862.6323
2013-10-18,-1748862.6323
2013-10-21,-1748862.6323
2013-10-22,-1748862.6323
2013-10-23,-1748862.6323
2013-10-24,-1748862.6323
2013-10-25,-1752286.5895
2013-10-28,-1752286.5895
2013-10-29,-1748332.8395
2013-10-30,-1748332.8395
2013-10-31,-1748332.8395
2013-11-01,-1753400.5478
2013-11-05,-1753400.5478
2013-11-06,-1753400.5478
2013-11-07,-1753400.5478
2013-11-08,-1753400.5478
2013-11-11,-1753400.5478
2013-11-12,-1753400.5478
2013-11-13,-1753400.5478
2013-11-14,-1753400.5478
2013-11-15,-1753400.5478
2013-11-18,-1753400.5478
2013-11-19,-1753400.5478
2013-11-20,-1753400.5478
2013-11-21,-1753400.5478
2013-11-22,-1753400.5478
2013-11-25,-1753400.5478
2013-11-26,-1771483.3398
2013-11-27,-1771483.3398
2013-11-28,-1771483.3398
2013-11-29,-1771483.3398
2013-12-02,-1771483.3398
2013-12-03,-1771483.3398
2013-12-04,-1771483.3398
2013-12-05,-1771483.3398
2013-12-06,-1771483.3398
2013-12-09,-1743604.2937999999
2013-12-10,-1743604.2937999999
2013-12-11,-1743604.2937999999
2013-12-12,-1743604.2937999999
2013-12-13,-1743604.2937999999
2013-12-16,-1743604.2937999999
2013-12-17,-1743604.2937999999
2013-12-18,-1743604.2937999999
